GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED,season,group_size
Lineups,-1627759-1628401-,J. Brown - D. White,1610612738,BOS,53,33,20,0.623,1356.0,116.8,118.2,109.9,110.8,6.9,7.4,0.578,1.97,18.0,0.323,0.704,0.521,0.129,0.559,0.588,99.2,98.19,81.82,2775,0.543,94,91,4234,1352,19,785,2392,1217,3590,1508,2186,1871,1976,1370,1501,1427,1613,4125,1149,4067645,2025-26,2
Lineups,-1627742-1630567-,B. Ingram - S. Barnes,1610612761,TOR,58,33,25,0.569,1351.0,113.7,114.4,112.1,112.3,1.6,2.0,0.689,2.22,20.6,0.298,0.699,0.499,0.133,0.55,0.584,101.1,100.69,83.91,2837,0.517,26,91,4546,1757,20,1371,2709,1817,1297,824,645,2555,2150,2378,1733,1736,1809,3404,1665,4051505,2025-26,2
Lineups,-1627742-1630193-,B. Ingram - I. Quickley,1610612761,TOR,56,33,23,0.589,1350.0,113.0,113.7,111.1,111.5,2.0,2.2,0.662,2.08,19.8,0.301,0.706,0.503,0.136,0.546,0.579,101.2,100.65,83.88,2826,0.509,47,91,4442,1613,21,1495,2539,1795,1843,1104,1007,2477,1890,2047,1922,1906,2010,3423,1866,4050245,2025-26,2
Lineups,-203497-1630183-,R. Gobert - J. McDaniels,1610612750,MIN,57,36,21,0.632,1349.0,116.1,116.0,106.7,108.1,9.4,8.0,0.612,1.74,18.6,0.292,0.714,0.514,0.149,0.575,0.604,102.9,102.25,85.21,2866,0.544,33,41,4307,1272,22,1105,1848,1164,2899,2286,1744,2726,1658,1621,2774,941,1111,2736,1111,4045975,2025-26,2
Lineups,-1628970-1642851-,M. Bridges - K. Knueppel,1610612766,CHA,57,30,27,0.526,1348.0,116.3,118.4,114.6,114.8,1.7,3.6,0.67,2.02,19.8,0.327,0.729,0.527,0.142,0.562,0.598,101.3,100.26,83.55,2810,0.512,33,176,4631,2035,23,769,3184,1643,1589,1256,998,1787,1212,1165,2323,1312,1280,3544,1786,4044430,2025-26,2
Lineups,-1631094-1641710-,P. Banchero - A. Black,1610612753,ORL,48,24,24,0.5,1323.0,112.0,113.2,112.3,114.2,-0.4,-1.0,0.653,1.96,18.9,0.268,0.709,0.489,0.134,0.54,0.582,101.4,100.03,83.36,2754,0.498,218,404,4498,2120,24,1602,3062,2261,1999,1514,1517,3347,1808,2759,1798,2128,1909,3641,2143,3970205,2025-26,2
Lineups,-1631157-1631260-,R. Rollins - A. Green,1610612749,MIL,55,23,32,0.418,1290.0,113.8,114.4,114.0,114.9,-0.2,-0.5,0.627,1.9,19.3,0.237,0.712,0.482,0.139,0.587,0.606,100.4,99.71,83.09,2684,0.49,61,433,4736,2792,25,1364,3195,2187,2569,1712,1283,3932,1704,3067,2149,752,1059,3738,2336,3870490,2025-26,2
Lineups,-1629638-1630168-,N. Alexander-Walker - O. Okongwu,1610612737,ATL,54,25,29,0.463,1287.0,111.9,111.8,112.2,112.6,-0.3,-0.8,0.718,2.15,20.5,0.264,0.702,0.481,0.135,0.549,0.585,106.5,106.29,88.58,2855,0.499,75,359,4679,2597,26,1869,2769,2234,861,975,672,3448,2064,3095,1882,1767,1777,1153,2124,3861665,2025-26,2
Lineups,-1630166-1641739-,D. Avdija - T. Camara,1610612757,POR,48,23,25,0.479,1284.0,114.9,116.4,115.8,116.9,-0.9,-0.5,0.643,1.62,18.0,0.358,0.685,0.518,0.16,0.547,0.586,104.0,102.9,85.75,2744,0.483,218,433,4546,2530,27,1047,3527,2192,2214,2699,2200,1109,2628,1473,3330,1870,1750,2464,2512,3852065,2025-26,2
Lineups,-1630578-1631095-,A. Sengun - J. Smith Jr.,1610612745,HOU,50,32,18,0.64,1280.0,114.9,116.4,112.1,113.0,2.8,3.5,0.591,1.73,17.9,0.376,0.693,0.535,0.15,0.546,0.578,98.7,97.73,81.44,2621,0.526,167,120,4066,1198,29,1039,2835,1654,3356,2332,2256,833,2344,975,2818,1886,2053,4209,1494,3839075,2025-26,2
Lineups,-1629638-1630700-,N. Alexander-Walker - D. Daniels,1610612737,ATL,57,29,28,0.509,1280.0,113.9,114.3,110.8,111.7,3.1,2.6,0.712,2.38,21.2,0.259,0.682,0.472,0.126,0.558,0.59,105.6,104.95,87.46,2791,0.515,33,210,4661,2118,28,1379,2584,1744,947,584,472,3567,2714,3420,1341,1457,1554,1603,1706,3839155,2025-26,2
Lineups,-1630217-1631094-,D. Bane - P. Banchero,1610612753,ORL,50,25,25,0.5,1266.0,112.8,113.5,111.5,112.6,1.4,0.9,0.653,1.92,19.0,0.277,0.713,0.497,0.137,0.546,0.589,102.3,101.52,84.6,2681,0.511,167,359,4546,2120,30,1558,2760,1967,1990,1633,1469,3109,1678,2440,2002,1898,1589,3069,1807,3798620,2025-26,2
Lineups,-201142-1630578-,K. Durant - A. Sengun,1610612745,HOU,50,31,19,0.62,1265.0,115.3,116.5,113.7,113.2,1.7,3.2,0.604,1.71,18.2,0.378,0.701,0.539,0.153,0.547,0.582,99.0,98.73,82.28,2622,0.531,167,145,4157,1371,31,1033,2878,1679,3074,2366,1998,815,2088,892,3023,1861,1885,3993,1389,3794965,2025-26,2
Lineups,-1628401-1630202-,D. White - P. Pritchard,1610612738,BOS,59,38,21,0.644,1252.0,116.3,117.8,107.1,106.8,9.2,11.0,0.597,2.05,18.4,0.329,0.705,0.523,0.127,0.556,0.586,97.6,97.12,80.93,2535,0.556,14,18,4307,1172,32,844,1647,899,3237,1165,1893,1746,1944,1311,1385,1539,1734,4307,925,3754910,2025-26,2
Lineups,-1626167-1631157-,M. Turner - R. Rollins,1610612749,MIL,56,23,33,0.411,1251.0,111.6,111.9,114.7,116.1,-3.1,-4.1,0.641,1.88,19.0,0.235,0.712,0.478,0.139,0.569,0.593,100.7,99.92,83.27,2608,0.478,47,433,4743,2820,33,1851,3387,2653,2246,1780,1446,3961,1697,3230,2109,1094,1452,3667,2631,3754080,2025-26,2
Lineups,-203497-1630162-,R. Gobert - A. Edwards,1610612750,MIN,50,33,17,0.66,1244.0,116.3,116.9,109.2,110.3,7.1,6.6,0.591,1.76,18.0,0.312,0.713,0.518,0.143,0.566,0.596,102.5,101.67,84.72,2628,0.534,167,91,3953,1086,34,961,2297,1315,3341,2198,2237,2174,1681,1459,2384,1177,1330,2999,1313,3732235,2025-26,2
Lineups,-1630168-1630700-,O. Okongwu - D. Daniels,1610612737,ATL,54,28,26,0.519,1234.0,112.0,112.3,112.0,111.8,0.1,0.6,0.735,2.16,21.2,0.264,0.709,0.487,0.141,0.556,0.589,105.1,105.09,87.57,2689,0.504,75,243,4596,2074,35,1773,2593,2002,660,961,448,3437,1799,2859,2241,1530,1586,1545,1984,3701085,2025-26,2
Lineups,-1626167-1631260-,M. Turner - A. Green,1610612749,MIL,53,23,30,0.434,1232.0,111.7,112.2,114.1,115.0,-2.4,-2.8,0.63,1.83,18.8,0.233,0.726,0.484,0.14,0.568,0.593,100.8,100.13,83.44,2579,0.481,94,433,4698,2709,36,1808,3206,2502,2483,1966,1622,3979,1309,2987,2188,1125,1437,3592,2558,3697390,2025-26,2
Lineups,-1628401-1629674-,D. White - N. Queta,1610612738,BOS,57,37,20,0.649,1229.0,117.8,119.0,104.9,104.5,13.0,14.5,0.607,2.27,19.0,0.335,0.71,0.528,0.121,0.559,0.585,96.7,96.39,80.33,2457,0.572,33,26,4234,1139,37,717,1303,660,3020,737,1451,1496,1753,1135,1085,1412,1774,4386,713,3688370,2025-26,2
Lineups,-1641739-1642270-,T. Camara - D. Clingan,1610612757,POR,58,29,29,0.5,1229.0,113.1,114.4,114.9,115.1,-1.8,-0.7,0.609,1.51,17.2,0.376,0.714,0.539,0.165,0.536,0.568,102.6,101.96,84.96,2605,0.484,26,210,4679,2120,38,1374,3222,2219,2957,3017,2789,840,1653,886,3526,2266,2472,2879,2488,3686270,2025-26,2
Lineups,-1629130-1630595-,D. Robinson - C. Cunningham,1610612765,DET,52,39,13,0.75,1225.0,117.6,119.7,109.0,109.1,8.7,10.6,0.615,2.13,19.1,0.344,0.738,0.542,0.129,0.557,0.589,103.5,102.47,85.39,2632,0.557,115,9,3485,551,39,651,2044,924,2846,1009,1384,1338,1053,830,1484,1472,1577,2625,911,3676105,2025-26,2
Lineups,-1628976-1641710-,W. Carter Jr. - A. Black,1610612753,ORL,56,30,26,0.536,1218.0,112.3,113.4,110.0,110.4,2.3,3.0,0.639,2.02,18.8,0.273,0.706,0.491,0.129,0.54,0.581,101.6,100.91,84.09,2551,0.517,47,176,4596,1978,40,1565,2318,1704,2270,1241,1627,3206,1883,2672,1463,2126,1916,3309,1675,3653055,2025-26,2
Lineups,-203999-1627750-,N. Jokić - J. Murray,1610612743,DEN,45,27,18,0.6,1212.0,126.3,127.0,116.1,116.0,10.2,11.0,0.663,2.4,20.9,0.304,0.743,0.533,0.124,0.61,0.649,102.5,102.25,85.21,2598,0.555,324,284,4066,1471,41,284,3372,894,1834,565,549,2392,976,1018,1210,478,403,2731,934,3634700,2025-26,2
Lineups,-1628976-1631094-,W. Carter Jr. - P. Banchero,1610612753,ORL,48,23,25,0.479,1211.0,111.4,112.8,111.4,112.6,0.0,0.1,0.653,1.87,18.9,0.265,0.708,0.487,0.141,0.541,0.585,102.3,101.1,84.25,2547,0.502,218,433,4546,2530,42,1675,2767,2056,1998,1819,1509,3420,1815,2826,2238,2082,1778,3224,2041,3634210,2025-26,2
Lineups,-1630162-1630183-,A. Edwards - J. McDaniels,1610612750,MIN,50,31,19,0.62,1204.0,119.1,118.9,111.0,112.0,8.2,7.0,0.584,1.77,18.3,0.295,0.707,0.512,0.143,0.587,0.619,102.9,102.51,85.43,2566,0.536,167,145,4157,1371,43,723,2637,1280,3500,2177,1970,2644,1859,1707,2465,751,782,2608,1279,3612855,2025-26,2
Lineups,-1630217-1641710-,D. Bane - A. Black,1610612753,ORL,58,31,27,0.534,1201.0,115.4,115.8,111.1,111.3,4.3,4.6,0.637,2.12,19.0,0.28,0.709,0.496,0.125,0.553,0.594,101.7,101.48,84.56,2536,0.526,26,145,4631,1985,44,1134,2492,1532,2324,1017,1435,3044,1792,2490,1233,1612,1402,3091,1487,3602910,2025-26,2
Lineups,-1629008-1629651-,M. Porter Jr. - N. Claxton,1610612751,BKN,45,12,33,0.267,1192.0,108.7,110.8,118.3,120.3,-9.6,-9.5,0.686,1.94,19.6,0.267,0.687,0.468,0.143,0.535,0.569,99.9,98.13,81.77,2443,0.444,324,1274,4743,3516,45,2064,3907,3266,1339,1599,1088,3364,2570,3543,2387,2300,2448,4141,3315,3575530,2025-26,2
Lineups,-1628384-1628969-,O. Anunoby - M. Bridges,1610612752,NYK,49,32,17,0.653,1185.0,117.7,117.1,107.8,107.9,9.9,9.2,0.676,2.15,20.2,0.29,0.713,0.509,0.134,0.57,0.603,101.1,101.26,84.38,2486,0.548,190,120,3953,1117,46,925,1818,1063,1486,972,779,2779,1675,1827,1796,1085,1136,3166,1045,3556015,2025-26,2
Lineups,-1630180-1630530-,S. Bey - T. Murphy III,1610612740,NOP,49,14,35,0.286,1184.0,112.4,112.2,116.1,116.6,-3.7,-4.4,0.619,2.02,18.0,0.295,0.686,0.487,0.125,0.522,0.568,103.8,103.69,86.41,2558,0.483,190,1063,4763,3403,47,1803,3461,2683,2747,1251,2163,2631,2588,2832,1229,2824,2491,2157,2518,3550995,2025-26,2
Lineups,-1628384-1628973-,O. Anunoby - J. Brunson,1610612752,NYK,46,31,15,0.674,1172.0,118.2,118.2,112.3,111.6,6.0,6.6,0.645,2.11,19.5,0.299,0.719,0.508,0.131,0.567,0.6,101.2,101.51,84.59,2478,0.531,291,145,3733,897,48,803,2556,1323,2154,1045,1187,2531,1487,1849,1592,1158,1212,3074,1381,3516555,2025-26,2
Lineups,-1630595-1631105-,C. Cunningham - J. Duren,1610612765,DET,48,34,14,0.708,1168.0,116.5,118.9,105.9,106.4,10.6,12.5,0.63,2.05,19.3,0.349,0.726,0.539,0.136,0.551,0.584,103.1,101.78,84.82,2473,0.566,218,71,3608,784,49,728,1587,790,2488,1169,1271,1256,1300,887,1944,1720,1823,2952,789,3503855,2025-26,2
Lineups,-1628978-1630162-,D. DiVincenzo - A. Edwards,1610612750,MIN,52,33,19,0.635,1165.0,120.2,120.6,110.1,111.2,10.1,9.4,0.604,1.89,18.7,0.307,0.706,0.514,0.139,0.587,0.618,103.0,102.28,85.23,2486,0.549,115,91,4157,1264,50,565,2482,1044,3076,1746,1667,2330,1879,1609,2104,748,794,2722,1034,3493720,2025-26,2
Lineups,-203497-203944-,R. Gobert - J. Randle,1610612750,MIN,59,38,21,0.644,1151.0,118.9,118.7,109.5,110.7,9.5,8.0,0.617,1.86,18.7,0.312,0.706,0.518,0.142,0.579,0.61,102.9,102.44,85.37,2459,0.548,14,18,4307,1172,51,739,2367,1160,2795,1837,1650,2184,1891,1447,2313,857,937,2644,1063,3454495,2025-26,2
Lineups,-1627739-1628381-,K. Dunn - J. Collins,1610612746,LAC,54,25,29,0.463,1149.0,113.1,114.5,113.2,114.3,-0.1,0.2,0.607,1.63,18.3,0.283,0.708,0.505,0.155,0.556,0.599,98.8,97.67,81.39,2332,0.504,75,359,4679,2597,52,1339,3082,2043,3016,2658,1940,2975,1817,1987,3140,1509,1235,4214,1990,3446160,2025-26,2
Lineups,-1628378-1630596-,D. Mitchell - E. Mobley,1610612739,CLE,43,26,17,0.605,1148.0,117.1,117.1,111.4,110.7,5.7,6.4,0.645,2.03,19.4,0.29,0.704,0.502,0.135,0.573,0.605,103.0,103.25,86.04,2474,0.531,409,323,3953,1466,53,924,2374,1342,2153,1220,1201,2778,1964,2073,1844,997,1073,2337,1362,3444105,2025-26,2
Lineups,-1628404-1628973-,J. Hart - J. Brunson,1610612752,NYK,47,33,14,0.702,1133.0,119.3,119.9,110.4,111.1,8.9,8.8,0.651,2.28,20.1,0.299,0.733,0.516,0.126,0.576,0.605,100.4,99.81,83.18,2358,0.548,252,91,3608,800,54,640,2468,1093,2034,724,812,2541,1158,1539,1334,919,1076,3702,1054,3398980,2025-26,2
Lineups,-1627750-1631212-,J. Murray - P. Watson,1610612743,DEN,45,28,17,0.622,1129.0,125.7,126.4,119.6,120.3,6.1,6.1,0.647,2.46,20.5,0.275,0.693,0.496,0.117,0.608,0.646,100.0,99.45,82.87,2346,0.537,324,243,3953,1354,55,305,3911,1372,2114,506,677,3164,2351,2464,929,491,439,3812,1256,3388290,2025-26,2
Lineups,-1629656-1630178-,Q. Grimes - T. Maxey,1610612755,PHI,54,30,24,0.556,1126.0,110.8,111.9,108.2,109.1,2.6,2.8,0.585,1.71,16.4,0.331,0.671,0.497,0.134,0.514,0.561,102.6,101.69,84.74,2396,0.511,75,176,4498,1827,56,1856,2057,1728,3483,2368,3343,1700,3028,2427,1797,3100,2758,2990,1820,3378040,2025-26,2
Lineups,-1630168-1630552-,O. Okongwu - J. Johnson,1610612737,ATL,51,26,25,0.51,1124.0,111.2,111.6,111.1,111.5,0.1,0.1,0.724,2.07,21.0,0.25,0.712,0.485,0.143,0.557,0.59,106.3,105.89,88.24,2480,0.504,140,323,4546,2115,57,1902,2549,2061,787,1135,518,3694,1691,2927,2472,1494,1557,1273,2002,3371225,2025-26,2
Lineups,-1626157-1628384-,K. Towns - O. Anunoby,1610612752,NYK,46,30,16,0.652,1123.0,117.6,117.9,109.5,108.8,8.1,9.2,0.676,2.17,20.3,0.296,0.735,0.515,0.134,0.566,0.6,100.7,100.95,84.12,2361,0.541,291,176,3858,1121,58,822,1990,1067,1506,924,729,2625,1101,1594,1788,1185,1209,3297,1173,3368625,2025-26,2
Lineups,-1626157-1628973-,K. Towns - J. Brunson,1610612752,NYK,54,37,17,0.685,1122.0,118.4,118.0,112.4,112.3,6.0,5.6,0.661,2.28,20.0,0.284,0.728,0.504,0.125,0.567,0.603,100.7,100.97,84.14,2377,0.536,75,26,3953,860,60,817,2710,1415,1856,721,848,2960,1243,1988,1223,1160,1131,3289,1262,3365000,2025-26,2
Lineups,-1630530-1642852-,T. Murphy III - D. Queen,1610612740,NOP,53,15,38,0.283,1122.0,112.0,112.5,118.8,119.1,-6.8,-6.6,0.629,1.85,18.6,0.276,0.673,0.476,0.139,0.539,0.584,104.2,103.87,86.56,2427,0.479,94,955,4781,3459,59,1751,3777,2954,2530,1885,1710,3137,2977,3291,2145,2168,1831,2084,2590,3365970,2025-26,2
Lineups,-1629651-1641730-,N. Claxton - N. Clowney,1610612751,BKN,50,13,37,0.26,1111.0,109.5,111.3,117.0,118.5,-7.5,-7.2,0.686,1.84,19.3,0.26,0.692,0.472,0.146,0.538,0.577,99.9,98.53,82.11,2281,0.456,167,1169,4776,3546,61,1969,3701,3029,1343,1935,1293,3525,2411,3432,2665,2183,2109,4042,3087,3334360,2025-26,2
Lineups,-1626220-1628415-,R. O'Neale - D. Brooks,1610612756,PHX,50,30,20,0.6,1111.0,112.3,112.4,116.3,117.1,-4.0,-4.7,0.576,1.62,16.9,0.296,0.665,0.474,0.143,0.539,0.576,101.6,101.22,84.35,2349,0.47,167,176,4234,1471,62,1757,3548,2717,3619,2691,3042,2615,3288,3360,2495,2155,2147,3177,2776,3331955,2025-26,2
Lineups,-1630595-1641709-,C. Cunningham - A. Thompson,1610612765,DET,53,39,14,0.736,1108.0,119.1,120.5,107.8,108.0,11.3,12.5,0.619,2.07,19.4,0.36,0.721,0.544,0.136,0.565,0.596,102.2,101.56,84.63,2332,0.564,94,9,3608,673,63,571,1831,780,2745,1120,1198,1074,1433,796,1947,1226,1365,3049,825,3324305,2025-26,2
Lineups,-1628404-1628969-,J. Hart - M. Bridges,1610612752,NYK,51,34,17,0.667,1104.0,117.3,117.8,109.7,110.2,7.6,7.6,0.655,2.18,20.3,0.299,0.716,0.51,0.133,0.573,0.601,101.2,100.75,83.96,2304,0.544,140,71,3953,903,64,842,2266,1199,1960,915,761,2545,1563,1755,1713,983,1191,3374,1117,3312215,2025-26,2
Lineups,-1626220-1631109-,R. O'Neale - M. Williams,1610612756,PHX,56,33,23,0.589,1103.0,111.3,111.4,112.5,113.7,-1.2,-2.3,0.589,1.65,17.1,0.297,0.665,0.479,0.144,0.533,0.57,102.2,101.62,84.68,2343,0.488,47,91,4442,1613,65,1953,2954,2440,3403,2598,2895,2589,3285,3196,2517,2423,2405,3022,2389,3308065,2025-26,2
Lineups,-1627783-1629614-,P. Siakam - A. Nembhard,1610612754,IND,44,11,33,0.25,1099.0,111.7,110.9,117.4,117.8,-5.7,-6.9,0.656,2.08,19.0,0.268,0.688,0.475,0.127,0.536,0.573,101.8,102.03,85.02,2338,0.474,366,1391,4743,3558,66,2043,3634,2989,1954,1107,1480,3342,2513,3341,1388,2267,2265,2849,2699,3295645,2025-26,2
Lineups,-203952-1628389-,A. Wiggins - B. Adebayo,1610612748,MIA,48,23,25,0.479,1094.0,114.4,114.7,111.7,111.9,2.6,2.8,0.646,2.19,19.2,0.271,0.726,0.492,0.123,0.549,0.583,104.9,104.67,87.22,2392,0.51,218,433,4546,2530,67,1299,2628,1731,2117,893,1325,3279,1306,2648,1157,1777,1851,1729,1833,3281170,2025-26,2
